  770.0      0.311      0.594      0.585      0.000     -0.049     -0.000 3/96000
  780.0      0.307      0.586      0.578      0.000     -0.048     -0.000 3/96000
  790.0      0.303      0.579      0.570      0.000     -0.047     -0.000 3/96000
  800.0      0.299      0.571      0.563      0.000     -0.047     -0.000 3/96000
  810.0      0.296      0.564      0.556      0.000     -0.046     -0.000 3/96000
  820.0      0.292      0.557      0.550      0.000     -0.046     -0.000 3/96000
  830.0      0.289      0.551      0.543      0.000     -0.045     -0.000 3/96000
  840.0      0.285      0.544      0.537      0.000     -0.045     -0.000 3/96000
  850.0      0.282      0.538      0.530      0.000     -0.044     -0.000 3/96000
  860.0      0.279      0.532      0.524      0.000     -0.044     -0.000 3/96000
  870.0      0.275      0.526      0.518      0.000     -0.043     -0.000 3/96000
  880.0      0.272      0.520      0.512      0.000     -0.043     -0.000 3/96000
  890.0      0.269      0.514      0.507      0.000     -0.042     -0.000 3/96000
  900.0      0.266      0.508      0.501      0.000     -0.042     -0.000 3/96000
  910.0      0.263      0.503      0.495      0.000     -0.041     -0.000 3/96000
  920.0      0.260      0.497      0.490      0.000     -0.041     -0.000 3/96000
  930.0      0.258      0.492      0.485      0.000     -0.040     -0.000 3/96000
  940.0      0.255      0.487      0.480      0.000     -0.040     -0.000 3/96000
  950.0      0.252      0.481      0.475      0.000     -0.039     -0.000 3/96000
  960.0      0.250      0.476      0.470      0.000     -0.039     -0.000 3/96000
  970.0      0.247      0.472      0.465      0.000     -0.039     -0.000 3/96000
  980.0      0.245      0.467      0.460      0.000     -0.038     -0.000 3/96000
  990.0      0.242      0.462      0.456      0.000     -0.038     -0.000 3/96000
 1000.0      0.240      0.457      0.451      0.000     -0.037     -0.000 3/96000

Thermal conductivity related properties were written into 
"kappa-m202020.hdf5".
Summary of calculation was written in "phono3py.yaml".
-------------------------[time 2024-10-11 12:07:29]-------------------------
                 _
   ___ _ __   __| |
  / _ \ '_ \ / _` |
 |  __/ | | | (_| |
  \___|_| |_|\__,_|

